id,text,category,mood,weight,source_type,nsfw_level,created_at
50,"сер, мне кажется вы чемто недовольны",telegram_chat,natural,1,telegram_chat_corpus,0,
51,тебе есть что скрывать в твоем компе?,telegram_chat,natural,1,telegram_chat_corpus,0,
52,что эффективнее бодифлекс или шейпинг?,telegram_chat,natural,1,telegram_chat_corpus,0,
53,какими качествами должен обладать ваш друг?,telegram_chat,natural,1,telegram_chat_corpus,0,
54,"как вы относитесь к тому, чтобы уступить место беременной женщине в общественном транспорте?",telegram_chat,natural,1,telegram_chat_corpus,0,
55,"достаточно просто нравится человеку, чтобы быть не безразличным.",telegram_chat,natural,1,telegram_chat_corpus,0,
56,"жажда, сухость во рту, зуд кожи.",telegram_chat,natural,1,telegram_chat_corpus,0,
57,не все такие гении.,telegram_chat,natural,1,telegram_chat_corpus,0,
58,ну вот и иди,telegram_chat,natural,1,telegram_chat_corpus,0,
59,"счастье это полнота, целостность личности и жизни",telegram_chat,natural,1,telegram_chat_corpus,0,
60,какой у тебя голос красивый,telegram_chat,natural,1,telegram_chat_corpus,0,
61,"оучше пропиткой-для закрепления-но не глянцевым лаком, пропитка любая можно акриловую",telegram_chat,natural,1,telegram_chat_corpus,0,
62,"тогда получается борщить это норма, а переборщить перебрал.",telegram_chat,natural,1,telegram_chat_corpus,0,
63,а как тебе камри .?,telegram_chat,natural,1,telegram_chat_corpus,0,
64,это тебе лучше в тдв заглянуть там найдешь приключения в избытке,telegram_chat,natural,1,telegram_chat_corpus,0,
65,"правда что азербайджанские ученые придумали нано носки, которые ненано стирать?",telegram_chat,natural,1,telegram_chat_corpus,0,
66,"когда как, все зависит от вещи и ее назначения",telegram_chat,natural,1,telegram_chat_corpus,0,
67,это твоя позиция всего лишь.,telegram_chat,natural,1,telegram_chat_corpus,0,
68,"когда человек сам не делает свой выбор, природа домысливает его?",telegram_chat,natural,1,telegram_chat_corpus,0,
69,потихоньку сходить с ума амбулаторно.,telegram_chat,natural,1,telegram_chat_corpus,0,
70,а ты еще сомневалась?,telegram_chat,natural,1,telegram_chat_corpus,0,
71,ой у меня сегодня выходной,telegram_chat,natural,1,telegram_chat_corpus,0,
72,как найти удаленный файл,telegram_chat,natural,1,telegram_chat_corpus,0,
73,секиз нужон,telegram_chat,natural,1,telegram_chat_corpus,0,
74,я его снимаю при покупке и больше никогда не вижу,telegram_chat,natural,1,telegram_chat_corpus,0,
75,"слабые духом, хотят свои проблемы на высшие силы списать",telegram_chat,natural,1,telegram_chat_corpus,0,
76,в темноте,telegram_chat,natural,1,telegram_chat_corpus,0,
77,"просто раскрыться и быть доброжелательным. никто не укусит, наоборот, улыбнуться в ответ.",telegram_chat,natural,1,telegram_chat_corpus,0,
78,что с ним,telegram_chat,natural,1,telegram_chat_corpus,0,
79,противовирусные препараты и препараты повышающие иммунитет,telegram_chat,natural,1,telegram_chat_corpus,0,
80,лилия прошу вас показаться !,telegram_chat,natural,1,telegram_chat_corpus,0,
81,залить молоко в сифон с газовым баллончиком,telegram_chat,natural,1,telegram_chat_corpus,0,
82,а точнее столица казахстана,telegram_chat,natural,1,telegram_chat_corpus,0,
83,"а сама жизнь не стоит того, чтобы ею дорожить? не говоря уже о любимых людях",telegram_chat,natural,1,telegram_chat_corpus,0,
84,стоит ли торопиться жить?,telegram_chat,natural,1,telegram_chat_corpus,0,
85,на что будут жить американцы если доллар совсем рухнет?,telegram_chat,natural,1,telegram_chat_corpus,0,
86,грибок стопы. к дерматологу.,telegram_chat,natural,1,telegram_chat_corpus,0,
87,можно ли пропить искусственный интеллект?,telegram_chat,natural,1,telegram_chat_corpus,0,
88,окончил учебу,telegram_chat,natural,1,telegram_chat_corpus,0,
89,просто у вас запретили произносить те слова в странне еще посщитают за рекламу,telegram_chat,natural,1,telegram_chat_corpus,0,
90,какой же ты душнила,telegram_chat,natural,1,telegram_chat_corpus,0,
91,"как бог относится к изображениям, которым поклоняются?",telegram_chat,natural,1,telegram_chat_corpus,0,
92,"если в отношениях гармония, то возраст это такая мелочь.",telegram_chat,natural,1,telegram_chat_corpus,0,
93,"сексуальность, мастерство в ласках и технике, энергичность, нежность, обаяние.",telegram_chat,natural,1,telegram_chat_corpus,0,
94,любовь -морковь. засадила весь огород на всякий случай. теперь урожай собираю.,telegram_chat,natural,1,telegram_chat_corpus,0,
95,давай что нибудь просто громкое,telegram_chat,natural,1,telegram_chat_corpus,0,
96,"я уже сказал такое поведение не совсем адекватное. это оскорбление самого себя, считай, перед всеми.",telegram_chat,natural,1,telegram_chat_corpus,0,
97,милые дамы-на вашем теле-мужские руки-куда направить их?,telegram_chat,natural,1,telegram_chat_corpus,0,
98,вы берете с собой пустой пакет в магазин?,telegram_chat,natural,1,telegram_chat_corpus,0,
99,"каждый суслик в поле агроном, а вот астрологом может стать не каждый суслик",telegram_chat,natural,1,telegram_chat_corpus,0,
101,год гляну,telegram_chat,natural,1,telegram_chat_corpus,0,
102,"нет, к сожалению, не выдается",telegram_chat,natural,1,telegram_chat_corpus,0,
103,в каком возрасте женщине проще всего простить измену,telegram_chat,natural,1,telegram_chat_corpus,0,
104,слова заумные какието.,telegram_chat,natural,1,telegram_chat_corpus,0,
105,да. у нас в городе есть специальный магазин для колбасеров. она там продается,telegram_chat,natural,1,telegram_chat_corpus,0,
106,"это интересно, когда кто-то живет за счет эмоций?",telegram_chat,natural,1,telegram_chat_corpus,0,
107,"а если реальному обучу, тогда что?",telegram_chat,natural,1,telegram_chat_corpus,0,
108,зачем даешь им шанс,telegram_chat,natural,1,telegram_chat_corpus,0,
109,гречка. паста. овсянка.,telegram_chat,natural,1,telegram_chat_corpus,0,
110,какая классная фотография,telegram_chat,natural,1,telegram_chat_corpus,0,
111,кто у нас родится? сын или дочка?,telegram_chat,natural,1,telegram_chat_corpus,0,
112,а не знал,telegram_chat,natural,1,telegram_chat_corpus,0,
113,как можно взломать твич аккаунт?,telegram_chat,natural,1,telegram_chat_corpus,0,
114,"пока нефтяная и газовая труба качает, мировое хозяйство будет брать",telegram_chat,natural,1,telegram_chat_corpus,0,
115,"когда будет встреча, отношения",telegram_chat,natural,1,telegram_chat_corpus,0,
116,"можно вместо фамилии указать, но тогда тебя будет трудно найти друзьям",telegram_chat,natural,1,telegram_chat_corpus,0,
117,"главное не алкомарафоном, мне жаль твою печень",telegram_chat,natural,1,telegram_chat_corpus,0,
118,а ты все приготовь до того как она начнет готовить,telegram_chat,natural,1,telegram_chat_corpus,0,
119,"а я коньяк с икоркой люблю, а ликерчик кофе запивать.",telegram_chat,natural,1,telegram_chat_corpus,0,
120,"что вы такого можете сделать, чтобы от вас устали те, кто рядом?",telegram_chat,natural,1,telegram_chat_corpus,0,
121,подарки своим девушками купили уже?,telegram_chat,natural,1,telegram_chat_corpus,0,
122,"не ношу, это очень тупо",telegram_chat,natural,1,telegram_chat_corpus,0,
123,насчет ноутбука незнаю но принтеры hp работают как автомат калашникова,telegram_chat,natural,1,telegram_chat_corpus,0,
124,я не умею врать,telegram_chat,natural,1,telegram_chat_corpus,0,
125,"в смысле, русские не стригли б",telegram_chat,natural,1,telegram_chat_corpus,0,
126,я подарю тебе весь этот мир. держи,telegram_chat,natural,1,telegram_chat_corpus,0,
127,как научиться быть равнодушным?,telegram_chat,natural,1,telegram_chat_corpus,0,
128,сделать качественный куни,telegram_chat,natural,1,telegram_chat_corpus,0,
129,совсем не употребляю.,telegram_chat,natural,1,telegram_chat_corpus,0,
130,"на женской мудрости, на жизненном опыте у меня не плохая интуиция",telegram_chat,natural,1,telegram_chat_corpus,0,
131,знаешь как делать секс,telegram_chat,natural,1,telegram_chat_corpus,0,
132,что страшнее смерть или ее ожидание?,telegram_chat,natural,1,telegram_chat_corpus,0,
133,во франции коммуна?,telegram_chat,natural,1,telegram_chat_corpus,0,
134,"а как вы боритесь с тем что поднять подняли, а разбудить забыли?",telegram_chat,natural,1,telegram_chat_corpus,0,
135,о крыла в себе еще один талант,telegram_chat,natural,1,telegram_chat_corpus,0,
136,"графитка хорошо подходит для электрических контактов, мажь литолом.",telegram_chat,natural,1,telegram_chat_corpus,0,
138,"мужчины милые, какие женщины вам больше по душе сильные личности или тихони без своего мнения?",telegram_chat,natural,1,telegram_chat_corpus,0,
139,что подарить свекрови на день рождения?,telegram_chat,natural,1,telegram_chat_corpus,0,
140,"скорбят. ты думаешь, люди со здравым смыслом совсем бесчувственные и не любят своих близких?",telegram_chat,natural,1,telegram_chat_corpus,0,
141,лежа на спине от минета,telegram_chat,natural,1,telegram_chat_corpus,0,
142,в невозможности ее предугадать,telegram_chat,natural,1,telegram_chat_corpus,0,
143,"жаль, а я так хотела в ресторан",telegram_chat,natural,1,telegram_chat_corpus,0,
144,а колбасу без хлеба есть можно?,telegram_chat,natural,1,telegram_chat_corpus,0,
145,ага есть такое,telegram_chat,natural,1,telegram_chat_corpus,0,
146,а когда вы поумнеете. или уже предел? h,telegram_chat,natural,1,telegram_chat_corpus,0,
147,вот это поворот,telegram_chat,natural,1,telegram_chat_corpus,0,
148,что можно вылечить сексом?,telegram_chat,natural,1,telegram_chat_corpus,0,
149,"любая потребность культурного, образованного, воспитанного человека духовна.",telegram_chat,natural,1,telegram_chat_corpus,0,
150,ну ваще я тут родился,telegram_chat,natural,1,telegram_chat_corpus,0,
151,"заходишь в панель пуска в левом углу там находишь стандартные, там будет блокнот и прочее",telegram_chat,natural,1,telegram_chat_corpus,0,
152,шо ты за ребенок,telegram_chat,natural,1,telegram_chat_corpus,0,
153,ни на одного из нас,telegram_chat,natural,1,telegram_chat_corpus,0,
154,я всегда упертой,telegram_chat,natural,1,telegram_chat_corpus,0,
155,"боооорь, я переживаю",telegram_chat,natural,1,telegram_chat_corpus,0,
156,мне шлют много голых мужских фоток. получается я больше голым мущщинам нравлюсь?,telegram_chat,natural,1,telegram_chat_corpus,0,
157,"говорят, что у каждого человека есть хоть одна фобия, а чего боитесь вы?",telegram_chat,natural,1,telegram_chat_corpus,0,
158,ой ну соль это любовь прям,telegram_chat,natural,1,telegram_chat_corpus,0,
159,пейджерами сейчас кто нибудь пользуется?,telegram_chat,natural,1,telegram_chat_corpus,0,
160,яркого и устрашающего у каждого вида по-своему,telegram_chat,natural,1,telegram_chat_corpus,0,
161,"так, конечно, оно досят тоннами фигни и количеством",telegram_chat,natural,1,telegram_chat_corpus,0,
162,а можно хоть куда рулить. сфера то круглая.,telegram_chat,natural,1,telegram_chat_corpus,0,
163,"общаюсь, получаю информацию по своим интересам.",telegram_chat,natural,1,telegram_chat_corpus,0,
164,"если мужчина это душа, то женщина материальное?",telegram_chat,natural,1,telegram_chat_corpus,0,
165,как вы относитесь к собственной смерти?,telegram_chat,natural,1,telegram_chat_corpus,0,
166,какой стиль одежды вы предпочитаете?,telegram_chat,natural,1,telegram_chat_corpus,0,
167,везде шлялась?,telegram_chat,natural,1,telegram_chat_corpus,0,
168,ну мя туда пойти не могу вот если бы мужчиной была,telegram_chat,natural,1,telegram_chat_corpus,0,
169,а у тебя какой рост?,telegram_chat,natural,1,telegram_chat_corpus,0,
170,"если их двоих все устраивает, то вполне.",telegram_chat,natural,1,telegram_chat_corpus,0,
171,"еще какая, до разводов доходит имущества, виртуального",telegram_chat,natural,1,telegram_chat_corpus,0,
172,а у вас можно одолжить кусочек личного пространства?,telegram_chat,natural,1,telegram_chat_corpus,0,
173,он меня преисполнил в лс и был за это забанен тут,telegram_chat,natural,1,telegram_chat_corpus,0,
174,кого вы больше боитесь клапов или блох?,telegram_chat,natural,1,telegram_chat_corpus,0,
175,у вас видик остался или выкинули уже на помойку?,telegram_chat,natural,1,telegram_chat_corpus,0,
176,"когда ты повзрослеешь, то ты сам уйдешь с ответов, или обратишься к врачу за помощью?",telegram_chat,natural,1,telegram_chat_corpus,0,
177,сила притяжения. куда мужчин притягивает?,telegram_chat,natural,1,telegram_chat_corpus,0,
178,как найти работу на выходные дни?,telegram_chat,natural,1,telegram_chat_corpus,0,
179,как вы думаете любящие сердца побеждают семейный быт,telegram_chat,natural,1,telegram_chat_corpus,0,
180,"снег это природа, снег это хорошо?",telegram_chat,natural,1,telegram_chat_corpus,0,
181,почему мужчины к женским слабостям относятся снисходительно а женщины нет,telegram_chat,natural,1,telegram_chat_corpus,0,
182,не вышла,telegram_chat,natural,1,telegram_chat_corpus,0,
183,"могу рассказывать то, что знаю",telegram_chat,natural,1,telegram_chat_corpus,0,
184,почему попобава наказывает только православных людей?,telegram_chat,natural,1,telegram_chat_corpus,0,
185,ты шутишь,telegram_chat,natural,1,telegram_chat_corpus,0,
186,скажите как сложится сентябрь?,telegram_chat,natural,1,telegram_chat_corpus,0,
187,для девочки нормально играть в футбол?,telegram_chat,natural,1,telegram_chat_corpus,0,
188,как реагируешь когда обвиняют в том чего нет и небыло?,telegram_chat,natural,1,telegram_chat_corpus,0,
189,недостаток секса. или отсуствие любви что для тебя ужаснее?,telegram_chat,natural,1,telegram_chat_corpus,0,
190,все в этой жизни нужное.,telegram_chat,natural,1,telegram_chat_corpus,0,
191,возрадуемся же,telegram_chat,natural,1,telegram_chat_corpus,0,
192,"потому, что вода чистая диэлектрик",telegram_chat,natural,1,telegram_chat_corpus,0,
193,любой. главное с сохранением качества и удовольствия.,telegram_chat,natural,1,telegram_chat_corpus,0,
194,он по ходу всем тут пишет,telegram_chat,natural,1,telegram_chat_corpus,0,
195,"может быть, поговорим о психологии",telegram_chat,natural,1,telegram_chat_corpus,0,
196,в белорусь послал вагнерцев потом сам же их подставил и спас лукашенко,telegram_chat,natural,1,telegram_chat_corpus,0,
197,"перевести его в мокрый и лечить, как обычный",telegram_chat,natural,1,telegram_chat_corpus,0,
198,"свобода не быть рабом греха, не грешить, вот истинная свобода,",telegram_chat,natural,1,telegram_chat_corpus,0,
199,"агрессивные и по любому поводу. да, ссоры внутренний конфликт.",telegram_chat,natural,1,telegram_chat_corpus,0,
200,"че у вас боятся глаза, а руки делают?",telegram_chat,natural,1,telegram_chat_corpus,0,
201,"из налоговой? ключи от квартиры, не нужны?",telegram_chat,natural,1,telegram_chat_corpus,0,
202,"вероятно, раз занимаешься придумыванием фантастических сюжетов",telegram_chat,natural,1,telegram_chat_corpus,0,
203,почему комбинированный корм с витаминами кушают все. кроме челов?,telegram_chat,natural,1,telegram_chat_corpus,0,
204,меня возмущ,telegram_chat,natural,1,telegram_chat_corpus,0,
205,у них открыта шенгенская виза по обоюдному согласию,telegram_chat,natural,1,telegram_chat_corpus,0,
206,какой салат самый вкусный?,telegram_chat,natural,1,telegram_chat_corpus,0,
207,какая женщина в наше время редкость?,telegram_chat,natural,1,telegram_chat_corpus,0,
208,никогда такого нет,telegram_chat,natural,1,telegram_chat_corpus,0,
209,"баранину не покупаю, только ягнятину. карэ на гриле жарю, ножку запекаю в духовке.",telegram_chat,natural,1,telegram_chat_corpus,0,
210,и без тебя справлялся,telegram_chat,natural,1,telegram_chat_corpus,0,
211,ты умеешь мыслить,telegram_chat,natural,1,telegram_chat_corpus,0,
212,"длядь это состояние души, проституция это способ зарабатывания денег",telegram_chat,natural,1,telegram_chat_corpus,0,
213,о чем-нибудь,telegram_chat,natural,1,telegram_chat_corpus,0,
214,тебе судя по всему уже все можно,telegram_chat,natural,1,telegram_chat_corpus,0,
215,у тебя есть деньги,telegram_chat,natural,1,telegram_chat_corpus,0,
216,а вы умеете прыгать через козла?,telegram_chat,natural,1,telegram_chat_corpus,0,
217,но я уже отмучилась намного лучше,telegram_chat,natural,1,telegram_chat_corpus,0,
218,на меня на меня то зачем ты же знаешь как я к тебе отношусь,telegram_chat,natural,1,telegram_chat_corpus,0,
219,это первый с кем так долго я был в отношениях,telegram_chat,natural,1,telegram_chat_corpus,0,
220,та каждый раз когда не зайду,telegram_chat,natural,1,telegram_chat_corpus,0,
221,"сон как раз о том, что парень сообщит вам приятную новость телефон.",telegram_chat,natural,1,telegram_chat_corpus,0,
222,"искать новую бабу, а пока что бы с голоду не умереть закажите пиццу.",telegram_chat,natural,1,telegram_chat_corpus,0,
223,"москва вот не впечатлила, пока что",telegram_chat,natural,1,telegram_chat_corpus,0,
224,иногда горбинкой или дубинкой?,telegram_chat,natural,1,telegram_chat_corpus,0,
225,я о них о клиентах никому не рассказываю,telegram_chat,natural,1,telegram_chat_corpus,0,
226,почему вам иногда хочется именно разврата?,telegram_chat,natural,1,telegram_chat_corpus,0,
227,"деньги раздавать всем, кроме меня?",telegram_chat,natural,1,telegram_chat_corpus,0,
228,"вы слушаете тех, кто так и лезет со своими советами?",telegram_chat,natural,1,telegram_chat_corpus,0,
229,это инстинкт. увы.,telegram_chat,natural,1,telegram_chat_corpus,0,
230,"а все, а поздно",telegram_chat,natural,1,telegram_chat_corpus,0,
231,ты меня доведешь до истерики,telegram_chat,natural,1,telegram_chat_corpus,0,
232,"к новому обществу, если платье свадебное, а если белая одежда, то к ухудшению здоровья",telegram_chat,natural,1,telegram_chat_corpus,0,
233,как ты могла замерзнуть? ты ведь постоянно танцуешь,telegram_chat,natural,1,telegram_chat_corpus,0,
234,"да нее, пока опыта нет ахах",telegram_chat,natural,1,telegram_chat_corpus,0,
235,"вообщето будет клево, ногти и не красят под чтоо. темболее сейчас лето решайтесь",telegram_chat,natural,1,telegram_chat_corpus,0,
236,"что у тебя немерянно вирусов, которые налету сжирают файлы установки.",telegram_chat,natural,1,telegram_chat_corpus,0,
237,едру. так проще будет фальсифицировать выборы,telegram_chat,natural,1,telegram_chat_corpus,0,
238,а хули веселицо. устали все,telegram_chat,natural,1,telegram_chat_corpus,0,
239,"что делать, если его члены меня больше не возбуждают?",telegram_chat,natural,1,telegram_chat_corpus,0,
240,"я бы спросила, что человек имел ввиду под словом умная. понятия могут различаться",telegram_chat,natural,1,telegram_chat_corpus,0,
241,"письмо, за которое почта несет особуюю ответственность. с оповещением получения и т. д.",telegram_chat,natural,1,telegram_chat_corpus,0,
242,в чем заключается магия музыки? поясните ответ,telegram_chat,natural,1,telegram_chat_corpus,0,
243,"поднять тиц и pr, потом продавать ссылки",telegram_chat,natural,1,telegram_chat_corpus,0,
244,нормально. масло в коробке обладает определенной вязкостью. вот и тянет немного.,telegram_chat,natural,1,telegram_chat_corpus,0,
245,меняют обычно шило на мыло. лучше что-то изменить.,telegram_chat,natural,1,telegram_chat_corpus,0,
246,"стать нельзя, нужно быть. счастье у каждого внутри, нужно только не сопротивляться.",telegram_chat,natural,1,telegram_chat_corpus,0,
247,очень даже заметно,telegram_chat,natural,1,telegram_chat_corpus,0,
248,можно и так,telegram_chat,natural,1,telegram_chat_corpus,0,
249,нуждается ли человечество в объединении или мы сможем существовать в разобщенном мире и далие?,telegram_chat,natural,1,telegram_chat_corpus,0,
250,можно ли заразиться чем-нибудь через нижнее белье?,telegram_chat,natural,1,telegram_chat_corpus,0,
251,ты блондинка или брюнетка,telegram_chat,natural,1,telegram_chat_corpus,0,
252,"а чего вы в жизни еще не попробовали, а очень хочется все равно?",telegram_chat,natural,1,telegram_chat_corpus,0,
253,поменяй первые буквы наоборот,telegram_chat,natural,1,telegram_chat_corpus,0,
254,"ни чем. потом когда выяснится что я не за путина, перестанут кормить и можа расстреляють.",telegram_chat,natural,1,telegram_chat_corpus,0,
255,европейские страны думают что украина в составе россии,telegram_chat,natural,1,telegram_chat_corpus,0,
256,"незаслуженная критика или равнодушие к действиям вашим, что для вас предпочтительнее?",telegram_chat,natural,1,telegram_chat_corpus,0,
257,"негативно. пусть меня закидают камнями, но нехер переться с грудным дитем в транспорт.",telegram_chat,natural,1,telegram_chat_corpus,0,
258,зачем нужно уважать каждого человека в сердце,telegram_chat,natural,1,telegram_chat_corpus,0,
259,в чем отличие термоядерных реакций от ядерных?,telegram_chat,natural,1,telegram_chat_corpus,0,
260,сходить к визажисту и подобрать цветовую гамму для тебя индивидуально,telegram_chat,natural,1,telegram_chat_corpus,0,
261,что лучше подарить девушке цветы или?,telegram_chat,natural,1,telegram_chat_corpus,0,
262,у нас рубли не принимают.,telegram_chat,natural,1,telegram_chat_corpus,0,
263,как вы думаете нужен ли сайт с саундами из игр?,telegram_chat,natural,1,telegram_chat_corpus,0,
264,"если для портрета то круглые если для фото в полный рост, то овальные",telegram_chat,natural,1,telegram_chat_corpus,0,
265,есть такое завышенная самооценка а к красивым боятся подойти,telegram_chat,natural,1,telegram_chat_corpus,0,
266,ну это мило я щас алое принесла. нужно посадить и дать имя,telegram_chat,natural,1,telegram_chat_corpus,0,
267,почему современные женщины перестали интересовать мужчин?,telegram_chat,natural,1,telegram_chat_corpus,0,
268,почему люди перестают во что-либо верить?,telegram_chat,natural,1,telegram_chat_corpus,0,
269,я тоже самое слышу от брата сейчас,telegram_chat,natural,1,telegram_chat_corpus,0,
270,"россия для тех, кто искренне любит россию, землю нашу и людей русских приоритетную нацию.",telegram_chat,natural,1,telegram_chat_corpus,0,
271,куда бы ты не взглянула. увидишь только то. что желаешь увидать.,telegram_chat,natural,1,telegram_chat_corpus,0,
272,на меня чемодан еще не придумали,telegram_chat,natural,1,telegram_chat_corpus,0,
273,последний раз  лет. еще развожусь.,telegram_chat,natural,1,telegram_chat_corpus,0,
274,скорее заменяет даже более вредно чем не пить,telegram_chat,natural,1,telegram_chat_corpus,0,
275,очень хорошо помогает мазь медерма-это офигительное средство все быстро исчезнет.,telegram_chat,natural,1,telegram_chat_corpus,0,
276,"конечно можно. причем на любые, телесные, черные и др но лучше без рисунка",telegram_chat,natural,1,telegram_chat_corpus,0,
277,"прости меня, что могу поделать",telegram_chat,natural,1,telegram_chat_corpus,0,
278,давно не видела фридриха в чатах,telegram_chat,natural,1,telegram_chat_corpus,0,
279,"когда, в каких случаях вы себе пропишете тяжелый физический труд?",telegram_chat,natural,1,telegram_chat_corpus,0,
280,как не быть рабом системы?,telegram_chat,natural,1,telegram_chat_corpus,0,
281,женщине ведь в принципе. достаточно одного мужика на всю жизнь. ведь так? или есть варианты,telegram_chat,natural,1,telegram_chat_corpus,0,
282,ага а секс мужского рода значит он для мужчин. все сходится.,telegram_chat,natural,1,telegram_chat_corpus,0,
283,лечится. схема в зависимости от причин и сроков болезни.,telegram_chat,natural,1,telegram_chat_corpus,0,
284,ни кто не быдло просто они грызутся за власть между собой а народу мозги засоряют,telegram_chat,natural,1,telegram_chat_corpus,0,
285,что девушек привлекаетнравится в парнях в их внешнем виде?,telegram_chat,natural,1,telegram_chat_corpus,0,
286,съесть тебя или изнасиловать? с чем есть или как насиловать?,telegram_chat,natural,1,telegram_chat_corpus,0,
287,"неужели в нашей жизни все, все упирается в деньги?",telegram_chat,natural,1,telegram_chat_corpus,0,
288,что ж не спится в столь поздний час,telegram_chat,natural,1,telegram_chat_corpus,0,
289,тогда хорошо,telegram_chat,natural,1,telegram_chat_corpus,0,
290,"какова вероятность того, что единая россия проиграет выборы в госдуму?",telegram_chat,natural,1,telegram_chat_corpus,0,
291,давайте беру,telegram_chat,natural,1,telegram_chat_corpus,0,
292,у нас в городе,telegram_chat,natural,1,telegram_chat_corpus,0,
293,"ну вот опять зять гонит с компа, ну что что бы ему такого вкусного приготовить?",telegram_chat,natural,1,telegram_chat_corpus,0,
294,кто нибудь может описать момент когда душа получает тело?,telegram_chat,natural,1,telegram_chat_corpus,0,
